brand_name,price,MRP,discount_percent,ratings,number_of_ratings,pants_category
WROGN,1374.0,2499.0,0.45,4.2,57.0,Loose Fit Jeans
Roadster,759.0,1899.0,0.6,4.0,63.0,Regular Fit Jeans
Levis,944.0,2099.0,0.55,4.1,1100.0,Regular Fit Jeans
Roadster,1024.0,2499.0,0.59,3.9,355.0,Baggy Jeans
Roadster,874.0,2499.0,0.65,3.6,14.0,Baggy Jeans
WROGN,1221.0,2599.0,0.53,3.8,58.0,Loose Fit Jeans
WROGN,1374.0,2499.0,0.45,4.2,57.0,Loose Fit Jeans
Roadster,759.0,1899.0,0.6,4.0,63.0,Regular Fit Jeans
Roadster,782.0,2699.0,0.71,3.8,740.0,Regular Fit Jeans
WROGN,1268.0,2699.0,0.53,3.5,21.0,Baggy Jeans
Roadster,779.0,2599.0,0.7,3.9,16.0,Regular Fit Jeans
Roadster,743.0,2399.0,0.69,3.8,21.0,Regular Fit Jeans
WROGN,1374.0,2499.0,0.45,4.2,57.0,Loose Fit Jeans
Roadster,759.0,1899.0,0.6,4.0,63.0,Regular Fit Jeans
Roadster,749.0,1499.0,0.5,4.2,78.0,Cargo Jeans
SPYKAR,1332.0,3099.0,0.57,4.0,67.0,Loose Fit Jeans
WROGN,1374.0,2499.0,0.45,4.2,57.0,Loose Fit Jeans
WROGN,944.0,2699.0,0.65,3.9,25.0,Loose Fit Jeans
Roadster,759.0,1899.0,0.6,4.0,63.0,Regular Fit Jeans
Roadster,909.0,2599.0,0.65,3.9,37.0,Baggy Jeans
WROGN,1374.0,2499.0,0.45,4.2,57.0,Loose Fit Jeans
WROGN,1049.0,2999.0,0.65,3.2,6.0,Cargo Jeans
Roadster,805.0,2599.0,0.69,4.0,37.0,Baggy Jeans
Roadster,759.0,1899.0,0.6,4.0,63.0,Regular Fit Jeans
Roadster,924.0,2499.0,0.63,4.1,38.0,Baggy Jeans
WROGN,1049.0,2999.0,0.65,3.7,48.0,Cargo Jeans
WROGN,1374.0,2499.0,0.45,4.2,57.0,Loose Fit Jeans
Roadster,759.0,1899.0,0.6,4.0,63.0,Regular Fit Jeans
Roadster,597.0,2599.0,0.77,3.7,43.0,Cargo Jeans
Roadster,839.0,2799.0,0.7,3.5,8.0,Cargo Jeans
Roadster,924.0,2499.0,0.63,3.8,67.0,Regular Fit Jeans
WROGN,1374.0,2499.0,0.45,4.2,57.0,Loose Fit Jeans
Roadster,759.0,1899.0,0.6,4.0,63.0,Regular Fit Jeans
WROGN,874.0,2499.0,0.65,2.1,20.0,Loose Fit Jeans
Roadster,867.0,2799.0,0.69,2.6,15.0,Baggy Jeans
Roadster,701.0,2599.0,0.73,3.6,15.0,Baggy Jeans
SPYKAR,1101.0,2899.0,0.62,3.5,36.0,Regular Fit Jeans
Roadster,849.0,1699.0,0.5,4.0,41.0,Regular Fit Jeans
Roadster,1072.0,2899.0,0.63,4.1,454.0,Cargo Jeans
WROGN,1374.0,2499.0,0.45,4.2,57.0,Loose Fit Jeans
Roadster,759.0,1899.0,0.6,4.0,63.0,Regular Fit Jeans
WROGN,1295.0,2699.0,0.52,3.3,17.0,Baggy Jeans
Roadster,1259.0,3599.0,0.65,3.9,252.0,Cargo Jeans
WROGN,1374.0,2499.0,0.45,4.2,57.0,Loose Fit Jeans
WROGN,1315.0,2799.0,0.53,4.0,165.0,Cargo Jeans
WROGN,979.0,2799.0,0.65,4.1,15.0,Regular Fit Jeans
Roadster,811.0,2799.0,0.71,3.2,24.0,Baggy Jeans
Roadster,759.0,1899.0,0.6,4.0,63.0,Regular Fit Jeans
WROGN,1049.0,2999.0,0.65,3.8,20.0,Baggy Jeans
Roadster,899.0,2999.0,0.7,3.7,18.0,Cargo Jeans
Roadster,779.0,2599.0,0.7,4.3,86.0,Cargo Jeans
Roadster,753.0,2599.0,0.71,3.8,25.0,Regular Fit Jeans
WROGN,1039.0,2599.0,0.6,3.9,42.0,Cargo Jeans
WROGN,1374.0,2499.0,0.45,4.2,57.0,Loose Fit Jeans
