brand_name,price,pants_category,Date,ratings,number_of_ratings
WROGN,1374,Loose Fit Jeans,03-06-2025,4.2,57
Roadster,759,Regular Fit Jeans,04-06-2025,4,63
Levis,944,Regular Fit Jeans,06-06-2025,4.1,1100
Roadster,1024,Baggy Jeans,03-06-2025,3.9,355
Roadster,874,Baggy Jeans,01-06-2025,3.6,14
WROGN,1221,Loose Fit Jeans,02-06-2025,3.8,58
WROGN,1374,Loose Fit Jeans,03-06-2025,4.2,57
Roadster,759,Regular Fit Jeans,01-06-2025,4,63
Roadster,782,Regular Fit Jeans,05-06-2025,3.8,740
WROGN,1268,Baggy Jeans,02-06-2025,3.5,21
Roadster,779,Regular Fit Jeans,01-06-2025,3.9,16
Roadster,743,Regular Fit Jeans,01-06-2025,3.8,21
WROGN,1374,Loose Fit Jeans,04-06-2025,4.2,57
Roadster,759,Regular Fit Jeans,02-06-2025,4,63
Roadster,749,Cargo Jeans,01-06-2025,4.2,78
SPYKAR,1332,Loose Fit Jeans,01-06-2025,4,67
WROGN,1374,Loose Fit Jeans,01-06-2025,4.2,57
WROGN,944,Loose Fit Jeans,01-06-2025,3.9,25
Roadster,759,Regular Fit Jeans,01-06-2025,4,63
Roadster,909,Baggy Jeans,06-06-2025,3.9,37
WROGN,1374,Loose Fit Jeans,04-06-2025,4.2,57
WROGN,1049,Cargo Jeans,01-06-2025,3.2,6
Roadster,805,Baggy Jeans,04-06-2025,4,37
Roadster,759,Regular Fit Jeans,05-06-2025,4,63
Roadster,924,Baggy Jeans,01-06-2025,4.1,38
WROGN,1049,Cargo Jeans,01-06-2025,3.7,48
WROGN,1374,Loose Fit Jeans,04-06-2025,4.2,57
Roadster,759,Regular Fit Jeans,05-06-2025,4,63
Roadster,597,Cargo Jeans,05-06-2025,3.7,43
Roadster,839,Cargo Jeans,01-06-2025,3.5,8
Roadster,924,Regular Fit Jeans,05-06-2025,3.8,67
WROGN,1374,Loose Fit Jeans,05-06-2025,4.2,57
Roadster,759,Regular Fit Jeans,02-06-2025,4,63
WROGN,874,Loose Fit Jeans,06-06-2025,2.1,20
Roadster,867,Baggy Jeans,04-06-2025,2.6,15
Roadster,701,Baggy Jeans,05-06-2025,3.6,15
SPYKAR,1101,Regular Fit Jeans,05-06-2025,3.5,36
Roadster,849,Regular Fit Jeans,06-06-2025,4,41
Roadster,1072,Cargo Jeans,05-06-2025,4.1,454
WROGN,1374,Loose Fit Jeans,05-06-2025,4.2,57
Roadster,759,Regular Fit Jeans,04-06-2025,4,63
WROGN,1295,Baggy Jeans,02-06-2025,3.3,17
Roadster,1259,Cargo Jeans,01-06-2025,3.9,252
WROGN,1374,Loose Fit Jeans,01-06-2025,4.2,57
WROGN,1315,Cargo Jeans,02-06-2025,4,165
WROGN,979,Regular Fit Jeans,02-06-2025,4.1,15
Roadster,811,Baggy Jeans,03-06-2025,3.2,24
Roadster,759,Regular Fit Jeans,03-06-2025,4,63
WROGN,1049,Baggy Jeans,06-06-2025,3.8,20
Roadster,899,Cargo Jeans,03-06-2025,3.7,18
Roadster,779,Cargo Jeans,02-06-2025,4.3,86
Roadster,753,Regular Fit Jeans,03-06-2025,3.8,25
WROGN,1039,Cargo Jeans,03-06-2025,3.9,42
WROGN,1374,Loose Fit Jeans,03-06-2025,4.2,57
Roadster,883,Loose Fit Jeans,04-06-2025,3,9
Roadster,759,Regular Fit Jeans,03-06-2025,4,63
WROGN,1374,Loose Fit Jeans,05-06-2025,4.2,57
Roadster,759,Regular Fit Jeans,03-06-2025,4,63
WROGN,1374,Loose Fit Jeans,04-06-2025,4.2,57
Roadster,883,Loose Fit Jeans,03-06-2025,4.3,21
Roadster,759,Regular Fit Jeans,06-06-2025,4,63
Roadster,628,Regular Fit Jeans,05-06-2025,4.2,54
WROGN,1374,Loose Fit Jeans,03-06-2025,4.2,57
Roadster,599,Regular Fit Jeans,06-06-2025,3.9,78
Roadster,759,Regular Fit Jeans,05-06-2025,4,63
Roadster,929,Loose Fit Jeans,03-06-2025,3.9,28
WROGN,1374,Loose Fit Jeans,02-06-2025,4.2,57
Roadster,759,Regular Fit Jeans,02-06-2025,4,63
Roadster,779,Baggy Jeans,02-06-2025,4,38
Roadster,519,Regular Fit Jeans,05-06-2025,4,29
Roadster,951,Baggy Jeans,02-06-2025,3.5,15
Roadster,628,Regular Fit Jeans,05-06-2025,4.1,37
WROGN,1374,Loose Fit Jeans,01-06-2025,4.2,57
Roadster,1049,Cargo Jeans,05-06-2025,4.3,295
Roadster,759,Regular Fit Jeans,06-06-2025,4,63
WROGN,1374,Loose Fit Jeans,01-06-2025,4.2,57
Roadster,759,Regular Fit Jeans,02-06-2025,4,63
WROGN,1374,Loose Fit Jeans,05-06-2025,4.2,57
Roadster,759,Regular Fit Jeans,06-06-2025,4,63
Roadster,571,Baggy Jeans,03-06-2025,3.9,22
WROGN,1374,Loose Fit Jeans,01-06-2025,4.2,57
Roadster,811,Baggy Jeans,06-06-2025,3.2,12
Roadster,759,Regular Fit Jeans,06-06-2025,4,63
Roadster,831,Loose Fit Jeans,01-06-2025,3.7,15
WROGN,1374,Loose Fit Jeans,03-06-2025,4.2,57
Roadster,759,Regular Fit Jeans,05-06-2025,4,63
Roadster,783,Baggy Jeans,03-06-2025,3.1,57
Roadster,519,Baggy Jeans,02-06-2025,2.8,12
Roadster,909,Loose Fit Jeans,05-06-2025,3.9,24
Roadster,839,Baggy Jeans,05-06-2025,4.2,26
Roadster,811,Baggy Jeans,02-06-2025,4.1,19
WROGN,1374,Loose Fit Jeans,06-06-2025,4.2,57
Roadster,759,Regular Fit Jeans,03-06-2025,4,63
Roadster,620,Cargo Jeans,04-06-2025,3.1,64
Roadster,671,Baggy Jeans,03-06-2025,2.6,5
WROGN,1315,Baggy Jeans,04-06-2025,3.7,29
WROGN,1374,Loose Fit Jeans,05-06-2025,4.2,57
Roadster,759,Regular Fit Jeans,03-06-2025,4,63
Roadster,867,Baggy Jeans,01-06-2025,3.6,44
Roadster,577,Regular Fit Jeans,02-06-2025,3.8,13
Roadster,923,Baggy Jeans,05-06-2025,3.6,10
WROGN,1374,Loose Fit Jeans,02-06-2025,4.2,57
Roadster,759,Regular Fit Jeans,06-06-2025,4,63
Roadster,725,Cargo Jeans,05-06-2025,4,173
WROGN,1374,Loose Fit Jeans,06-06-2025,4.2,57
Roadster,759,Regular Fit Jeans,03-06-2025,4,63
Roadster,839,Regular Fit Jeans,04-06-2025,3.5,22
WROGN,1374,Loose Fit Jeans,05-06-2025,4.2,57
Roadster,759,Regular Fit Jeans,03-06-2025,4,63
WROGN,1374,Loose Fit Jeans,06-06-2025,4.2,57
Roadster,759,Regular Fit Jeans,05-06-2025,4,63
WROGN,1374,Loose Fit Jeans,06-06-2025,4.2,57
